Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr6	63978	1.43898979541	0
chr6	186116	1.60840405812	0.175755335632
chr6	186824	5.16114175964	0.176894085705
chr6	205271	11.5105720281	0.272101667745
chr6	205609	13.184162881	0.275992241091
chr6	206527	13.184162881	0.288095302615
chr6	206598	7.5006765355	0.28903137818
chr6	206643	7.5006765355	0.289368908624
chr6	206711	3.7293376713	0.289878954629
chr6	206777	3.7293376713	0.290125090915
chr6	210814	3.7293376713	0.305180427094
chr6	210831	1.90637602986	0.305243825834
chr6	210834	1.87172594813	0.305249544962
chr6	210835	1.41978454489	0.305251416688
chr6	210910	1.41978454489	0.305357900529
chr6	215422	6.83132826089	0.311763968396
chr6	220089	6.83132826089	0.343645777389
chr6	220380	5.05617810158	0.345633693913
chr6	220512	4.72184875984	0.346301109423
chr6	220548	3.25873919702	0.346471095978
chr6	220629	3.25873919702	0.346735053853
chr6	227052	3.91906995782	0.367665935715
chr6	229201	4.86505229922	0.376088017055
chr6	229553	5.04804976233	0.377800515464
chr6	229576	5.13390794598	0.377916620609
chr6	230571	12.14049073	0.383024859015
chr6	230972	15.500042036	0.387893195798
chr6	231100	25.91660562	0.389877201178
chr6	231685	25.9166056201	0.405038415466
chr6	231733	22.4942760415	0.406282412536
chr6	231877	11.6853836329	0.409521588286
chr6	231933	2.70265901986	0.410175969769
chr6	232060	2.70265901986	0.410519207465
chr6	235478	5.45707451344	0.419756895995
chr6	235498	7.53478735058	0.419866037485
chr6	235601	7.60248288602	0.420642120582
chr6	238830	7.60248288602	0.445190537821
chr6	238936	5.30044880469	0.445996401007
chr6	238949	3.5652666036	0.446065306841
chr6	238951	2.68351403321	0.446072437374
chr6	239002	2.68351403321	0.44620929659
chr6	239022	2.68351403321	0.446262966871
chr6	239352	2.6833193947	0.447148526502
chr6	239363	2.6833193947	0.447178043015
chr6	239372	2.64965404892	0.44720219289
chr6	239527	2.64965404892	0.447612889267
chr6	239853	2.64965404892	0.448476676487
chr6	239946	1.01374240675	0.448723094314
chr6	239979	1.01374240675	0.448756547813
chr6	243954	11.7215018348	0.45278617388
chr6	244090	13.2209919434	0.45438029813
chr6	244101	13.6817477428	0.454525729041
chr6	244154	13.7165370761	0.455250861671
chr6	245388	13.7165370761	0.472177068423
chr6	245465	2.34864220596	0.473233241778
chr6	245637	2.34864220596	0.473637208237
