0	8.51e-08
3588	9.67e-08
39878	9.43e-08
330262	2.07e-08
338454	6.91e-08
433039	6.54e-08
695452	7.88e-08
1014331	8.37e-08
1017256	9.46e-08
1054241	1.85e-08
1153989	8.45e-08
1218469	1.60e-08
1480306	7.84e-08
1578224	5.28e-08
1601144	6.14e-08
1615600	6.86e-08
1646590	8.32e-08
1662180	5.05e-08
1675583	9.93e-08
1757178	8.23e-08
1880019	9.35e-08
1883548	7.30e-08
1972592	8.49e-08
2187122	2.04e-08
2188726	6.17e-08
2295160	2.68e-08
2326992	7.37e-08
2357907	7.18e-08
2403463	1.82e-08
2534813	7.42e-08
2575685	8.81e-08
2725849	4.28e-08
3011688	3.64e-08
3165682	7.89e-08
3217779	8.59e-09
3226591	7.55e-08
3281784	8.47e-08
3392851	1.87e-08
3676356	6.81e-08
3706794	1.78e-08
3804429	6.35e-09
3814401	4.39e-08
3872117	1.17e-08
4291497	1.31e-08
4300454	3.70e-08
4315324	8.97e-08
4379918	5.55e-09
4417654	1.64e-08
4439318	4.65e-09
4703243	8.20e-08
4735143	7.35e-08
4971396	3.50e-09
5036624	1.01e-08
5053993	6.99e-08
5180590	5.24e-08
5283467	1.23e-08
5384706	8.99e-08
5489742	4.72e-08
5544865	8.37e-08
5927125	8.25e-08
5927256	3.81e-09
6111009	7.21e-08
6157436	2.01e-08
6243273	1.07e-08
6281934	7.46e-08
6285862	2.34e-09
6423208	6.60e-08
6506764	1.67e-08
6538191	7.14e-08
6741918	1.56e-08
6775882	2.08e-08
6842717	3.35e-08
7016374	3.89e-08
7106804	2.96e-08
7138088	5.10e-08
7265338	7.72e-08
7375620	2.58e-08
7495832	7.21e-08
7792994	6.70e-08
7820027	9.76e-08
7894788	1.14e-08
8217767	8.61e-08
8328958	1.58e-08
8601755	2.20e-08
8675943	1.08e-08
8683216	6.67e-08
8803495	7.58e-08
8973472	1.54e-08
8974864	9.87e-09
9019096	4.30e-08
9033003	5.70e-08
9355932	5.97e-08
9440866	8.37e-08
9459796	9.32e-08
9560749	7.93e-08
9663241	9.50e-09
9720236	2.12e-08
9918074	2.69e-08
10163122	3.68e-08
10164059	1.94e-08
10169686	3.81e-08
10190233	5.59e-08
10235672	2.74e-08
10304114	9.79e-08
10449507	1.46e-08
10548457	7.68e-08
10565420	3.11e-08
10643159	4.36e-08
10668744	5.52e-08
10683156	1.38e-08
10730984	6.45e-08
10799461	4.52e-08
10859423	2.38e-08
10929951	2.45e-09
10935259	2.65e-08
11206309	7.95e-08
11343013	6.04e-08
11431837	4.11e-08
11555026	3.96e-09
11555779	1.71e-08
11572989	9.19e-08
11723921	9.35e-08
11782445	5.14e-08
11918641	2.57e-08
12087773	7.50e-08
12115222	7.21e-08
